0000100001[]
0000100002[]
0000100003[]
0000100004[317 95 22 43 0 0 0; ]
0000100005[317 96 22 43 0 0 0; ]
0000100006[318 98 22 43 0 0 0; ]
0000100007[318 99 22 43 0 0 0; ]
0000100008[319 100 22 43 0 0 0; ]
0000100009[319 100 22 42 0 0 0; ]
0000100010[320 101 22 42 0 0 0; ]
0000100998[362 105 30 60 15 0 0; 153 107 17 30 16 0 0; ]
0000100999[364 105 30 61 15 0 0; 154 106 17 30 16 0 0; ]
0000101000[367 104 30 61 15 0 0; 155 106 17 30 16 0 0; ]
0000101001[370 104 31 61 15 0 0; 156 106 17 30 16 0 0; ]
0000101002[373 104 31 61 15 0 0; 157 105 17 31 16 0 0; ]
0000101003[375 103 30 62 15 0 0; 158 104 18 31 16 0 0; ]
0000101004[377 102 30 64 15 0 0; 159 105 18 31 16 0 0; ]
0000101005[379 101 30 65 15 0 0; 160 105 17 32 16 0 0; ]
0000101006[381 101 30 66 15 0 0; 160 105 17 32 16 0 0; ]
0000101007[383 100 30 66 15 0 0; 161 105 17 32 16 0 0; ]
0000101008[385 100 30 67 15 0 0; 162 106 17 32 16 0 0; ]
0000101009[386 100 30 68 15 0 0; 162 106 17 32 16 0 0; ]
0000101010[388 100 30 68 15 0 0; 162 106 17 32 16 0 0; ]
0000101011[389 100 30 69 15 0 0; 162 106 17 33 16 0 0; ]
0000101012[391 100 31 69 15 0 0; 162 106 17 33 16 0 0; ]
0000101013[392 100 31 70 15 0 0; 162 107 17 33 16 0 0; ]
0000101014[393 100 32 70 15 0 0; 162 107 17 33 16 0 0; ]
0000101015[394 100 32 71 15 0 0; 162 107 17 33 16 0 0; ]
0000101016[395 101 33 71 15 0 0; 162 107 17 33 16 0 0; ]
0000101017[396 101 34 71 15 0 0; 162 108 18 34 16 0 0; ]
0000101018[399 99 34 75 15 0 0; 162 108 18 34 16 0 0; ]
0000101019[401 97 34 78 15 0 0; 161 104 18 34 16 0 0; ]
0000101020[402 96 35 79 15 0 0; 161 102 18 35 16 0 0; ]
0000101021[403 94 35 80 15 0 0; 160 100 18 35 16 0 0; ]
0000101022[404 92 35 80 15 0 0; 159 98 18 35 16 0 0; ]
0000101023[405 91 35 80 15 0 0; 159 98 18 36 16 0 0; ]
0000101024[406 90 35 80 15 0 0; 158 97 18 36 16 0 0; ]
0000101025[407 90 35 80 15 0 0; 157 97 18 36 16 0 0; ]
0000101026[408 91 34 80 15 0 0; 156 99 18 36 16 0 0; ]
0000101027[409 95 34 80 15 0 0; 155 102 17 36 16 0 0; ]
0000101028[410 98 33 80 15 0 0; 154 105 17 37 16 0 0; ]
0000101029[410 100 33 80 15 0 0; 152 106 17 37 16 0 0; ]
0000101030[411 99 33 80 15 0 0; 151 106 17 37 16 0 0; ]
0000101031[412 97 34 81 15 0 0; 150 104 18 38 16 0 0; ]
0000101032[413 95 36 82 15 0 0; 148 101 19 39 16 0 0; ]
0000101033[413 89 37 83 15 0 0; 146 97 20 40 16 0 0; ]
0000101034[414 84 38 84 15 0 0; 145 92 20 41 16 0 0; ]
0000101035[415 79 39 84 15 0 0; 143 87 20 41 16 0 0; ]
0000101036[416 75 40 85 15 0 0; 141 83 20 41 16 0 0; ]
0000101037[417 72 40 85 15 0 0; 139 79 20 41 16 0 0; ]
0000101038[418 70 41 85 15 0 0; 137 76 21 40 16 0 0; ]
0000101039[419 68 41 86 15 0 0; 136 74 21 39 16 0 0; ]
0000101040[420 68 41 86 15 0 0; 134 75 21 39 16 0 0; ]
0000101041[421 68 41 86 15 0 0; 132 75 21 39 16 0 0; ]
0000101042[422 69 41 86 15 0 0; 130 76 22 39 16 0 0; ]
0000101043[424 70 41 86 15 0 0; 129 77 23 39 16 0 0; ]
0000101044[426 72 41 86 15 0 0; 127 78 23 39 16 0 0; ]
0000101045[427 74 41 85 15 0 0; 125 80 22 41 16 0 0; ]
0000101046[429 78 41 85 15 0 0; 123 81 22 43 16 0 0; ]
0000101047[431 82 41 85 15 0 0; 121 81 22 44 16 0 0; 137 87 20 39 17 1 2; ]
0000101048[433 78 42 86 15 0 0; 120 81 23 45 16 0 0; 135 83 21 41 17 1 2; ]
0000101049[435 74 43 88 15 0 0; 118 77 23 45 16 0 0; 133 80 22 42 17 1 2; ]
0000101050[437 72 43 89 15 0 0; 116 73 23 44 16 0 0; 131 78 23 44 17 1 2; ]
0000101051[439 70 44 90 15 0 0; 114 71 23 44 16 0 0; 129 76 23 45 17 0 2; ]
0000101052[442 68 44 91 15 0 0; 112 70 23 44 16 0 0; 127 75 24 45 17 0 2; ]
0000101053[444 68 45 92 15 0 0; 111 71 23 44 16 0 0; 126 75 24 46 17 0 2; ]
0000101054[446 67 45 93 15 0 0; 109 72 23 44 16 0 0; 124 74 24 46 17 0 2; ]
0000101055[449 69 45 93 15 0 0; 107 73 23 44 16 0 0; 123 75 24 46 17 0 2; ]
0000101056[452 72 46 94 15 0 0; 105 75 23 44 16 0 0; 122 78 24 45 17 0 2; ]
0000101057[455 75 46 94 15 0 0; 104 78 23 45 16 0 0; 121 81 23 45 17 0 2; ]
0000101058[458 78 46 95 15 0 0; 102 81 22 46 16 0 0; 120 83 23 45 17 0 2; ]
0000101059[461 79 47 96 15 0 0; 100 83 22 47 16 0 0; 118 86 23 45 17 0 2; ]
0000101060[98 83 22 48 16 0 0; 117 88 23 46 17 0 2; ]
0000101061[96 82 23 48 16 0 0; 116 87 23 47 17 0 2; ]
0000101062[95 82 23 50 16 0 0; 115 84 23 49 17 0 2; ]
0000101063[93 81 24 51 16 0 0; 113 84 24 49 17 0 2; ]
0000101064[91 81 24 51 16 0 0; 111 83 26 49 17 0 2; ]
0000101065[89 80 24 51 16 0 0; 109 83 27 49 17 0 2; ]
0000101066[87 80 24 51 16 0 0; 107 83 27 49 17 0 2; ]
0000101067[84 80 24 51 16 0 0; 105 83 27 50 17 0 2; ]
0000101068[82 79 24 51 16 0 0; 104 83 27 51 17 0 2; ]
0000101069[80 78 24 51 16 0 0; 102 83 28 52 17 0 2; ]
0000101070[78 78 25 51 16 0 0; 100 82 28 52 17 0 2; ]
0000101071[75 77 25 51 16 0 0; 99 82 28 52 17 0 2; ]
0000101072[73 76 25 51 16 0 0; 97 81 29 52 17 0 2; ]
0000101073[70 75 26 52 16 0 0; 96 80 29 52 17 0 2; ]
0000101074[68 73 26 53 16 0 0; 95 79 29 52 17 0 2; ]
0000101075[65 72 27 54 16 0 0; 93 77 30 53 17 0 2; ]
0000101076[63 70 28 55 16 0 0; 92 76 30 55 17 0 2; ]
0000101077[60 68 29 56 16 0 0; 91 74 31 56 17 0 2; ]
0000101078[57 66 30 58 16 0 0; 89 72 31 57 17 0 2; ]
0000101079[55 65 30 58 16 0 0; 87 70 31 57 17 0 2; ]
0000101080[52 64 31 59 16 0 0; 85 70 31 57 17 0 2; ]
0000101081[49 63 31 60 16 0 0; 83 69 32 57 17 0 2; ]
0000101082[46 63 32 61 16 0 0; 81 69 32 58 17 0 2; ]
0000101083[43 63 32 63 16 0 0; 78 69 33 58 17 0 2; ]
0000101084[40 64 32 66 16 0 0; 76 69 33 59 17 0 2; ]
0000101085[37 65 32 67 16 0 0; 74 70 34 60 17 0 2; ]
0000101086[33 66 32 66 16 0 0; 72 74 34 60 17 0 2; ]
0000101087[30 68 32 65 16 0 0; 69 77 35 61 17 0 2; ]
0000101088[26 70 32 63 16 0 0; 67 78 35 62 17 0 2; ]
0000101089[22 71 32 62 16 0 0; 65 78 36 63 17 0 2; ]
0000101090[18 71 33 62 16 0 0; 62 78 36 63 17 0 2; ]
0000101091[13 69 33 63 16 0 0; 60 76 37 64 17 0 2; ]
0000101092[8 66 35 65 16 0 0; 57 74 37 64 17 0 2; ]
0000101093[2 63 36 67 16 0 0; 53 73 38 65 17 0 2; ]
0000101094[50 72 40 65 17 0 2; ]
0000101095[48 71 40 66 17 0 2; ]
0000101096[47 71 41 67 17 0 2; ]
0000101097[47 70 40 67 17 0 2; ]
0000101098[48 70 40 67 17 0 2; ]
0000101099[48 70 39 68 17 0 2; ]
0000101100[48 70 39 68 17 0 2; ]
0000101101[48 70 39 68 17 0 2; ]
0000101102[48 70 39 68 17 0 2; ]
0000101103[48 70 39 68 17 0 2; ]
0000101104[48 70 39 68 17 0 2; ]
0000101105[48 70 38 68 17 0 2; ]
0000101106[48 70 38 67 17 0 2; ]
0000101107[47 70 38 67 17 0 2; ]
0000101108[47 70 38 67 17 0 2; ]
0000101109[47 70 38 67 17 0 2; ]
0000101110[]
0000101111[]
0000101112[]
0000101113[]
0000101114[]
0000101115[]
0000101116[]
0000101117[]
0000101118[]
0000101119[]
0000101120[]
0000101121[]
0000101122[]
0000101123[]
0000101124[]
0000101125[]
0000101126[]
0000101127[]
0000101128[]
0000101129[]
0000101130[]
0000101131[]
0000101132[]
0000101133[]
0000101134[]
0000101135[]
0000101136[]
0000101137[]
0000101138[]
0000101139[]
0000101140[]
0000101141[]
0000101142[]
0000101143[]
0000101144[]
0000101145[]
0000101146[]
0000101147[]
0000101148[]
0000101149[]
0000101150[]
0000101151[]
0000101152[]
0000101153[]
0000101154[]
0000101155[]
0000101156[]
0000101157[]
0000101158[]
0000101159[]
0000101160[]
0000101161[]
0000101162[]
0000101163[]
0000101164[]
0000101165[]
0000101166[]
0000101167[]
0000101168[]
0000101169[]
0000101170[]
0000101171[]
0000101172[]
0000101173[]
0000101174[]
0000101175[]
0000101176[]
0000101177[]
0000101178[]
0000101179[]
0000101180[]
0000101181[]
0000101182[]
0000101183[]
0000101184[]
0000101185[]
0000101186[]
0000101187[]
0000101188[]
0000101189[]
0000101190[]
0000101191[]
0000101192[]
0000101193[]
0000101194[]
0000101195[]
0000101196[]
0000101197[]
0000101198[]
0000101199[]
0000101200[]
0000101201[]
0000101202[]
0000101203[]
0000101204[]
0000101205[]
0000101206[]
0000101207[]
0000101208[]
0000101209[]
0000101210[]
0000101211[]
0000101212[]
0000101213[]
0000101214[]
0000101215[]
0000101216[]
0000101217[]
0000101218[]
0000101219[]
0000101220[]
0000101221[]
0000101222[]
0000101223[]
0000101224[]
0000101225[72 138 20 52 24 0 3; ]
0000101226[69 138 20 53 24 0 3; ]
0000101227[67 138 21 53 24 0 3; ]
0000101228[64 138 21 54 24 0 3; 45 135 21 56 25 0 3; ]
0000101229[62 138 22 54 24 0 3; 42 136 21 56 25 0 3; ]
0000101230[59 138 22 55 24 0 3; 39 136 21 56 25 0 3; ]
0000101231[57 138 23 56 24 0 3; 36 136 21 56 25 0 3; ]
0000101232[54 139 23 56 24 0 3; 34 136 22 56 25 0 3; ]
0000101233[52 139 24 57 24 0 3; 31 137 22 57 25 0 3; ]
0000101234[49 139 24 57 24 0 3; 29 137 22 57 25 0 3; ]
0000101235[47 139 24 57 24 0 3; 26 137 22 57 25 0 3; ]
0000101236[44 139 25 58 24 0 3; 24 137 22 57 25 0 3; ]
0000101237[42 139 25 58 24 0 3; 21 137 22 57 25 0 3; ]
0000101238[39 139 25 58 24 0 3; 19 137 22 57 25 0 3; ]
0000101239[37 139 25 58 24 0 3; 17 137 22 56 25 0 3; ]
0000101240[34 139 25 58 24 0 3; 14 137 21 55 25 0 3; ]
0000101241[32 138 25 58 24 0 3; ]
0000101242[29 136 25 58 24 0 3; ]
0000101243[27 135 25 57 24 0 3; ]
0000101244[24 134 26 57 24 0 3; ]
0000101245[21 133 26 57 24 0 3; ]
0000101246[18 132 26 57 24 0 3; ]
0000101247[16 130 25 56 24 0 3; ]
0000101248[]
0000101249[]
0000101250[]
0000101251[]
0000101252[]
0000101253[]
0000101254[]
0000101255[]
0000101256[]
0000101257[]
0000101258[]
0000101259[]
0000101260[]
0000101261[]
0000101262[]
0000101263[]
0000101264[]
0000101265[]
0000101266[]
0000101267[]
0000101268[]
